price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
3700000000.0,60.0,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Thạnh,Đường 22 tháng 2,
1750000000.0,85.0,2.0,2.0,Nhà phố liền kề,Đã có sổ,Bình Dương,Thị xã Bến Cát,Phường Thới Hòa,"Vành đai 4, VSIP II Mở Rộng, Hòa Lợi, Phường Hòa Lợi, Thị xã Bến Cát, Tỉnh Bình Dương, 75900, Việt Nam",
23000000000.0,762.0,11.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Nguyễn Thị Tươi,1.0
839000000.0,1875.0,,,,Đã có sổ,Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hàm Đức,quốc lộ 1A,
5900000000.0,54.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Phước Hải,Trần Hưng Đạo,
2950000000.0,65.0,2.0,2.0,,1,Tp Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phan Văn Hớn,
2980000000.0,74.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Vĩnh Phú,Quốc Lộ 13,
2000000000.0,1000.0,,,,Đã có sổ,Đồng Nai,Huyện Nhơn Trạch,Xã Vĩnh Thanh,Đường Hùng Vương,
2300000000.0,1000.0,,,,,Đồng Nai,Huyện Nhơn Trạch,Xã Phú Đông,hùng vương,
20000000000.0,68.0,5.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 10,Phường 12,Hẻm Đường Nhựa 449 Sư Vạn Hạnh (nối dài),
1270000000.0,59.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Bình Hòa,Nguyễn Du,
3650000000.0,46.0,4.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Huỳnh Tấn Phát,3.0
2400000000.0,52.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Nguyễn Lương Bằng,
3350000000.0,100.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Phước Hải,Huỳnh Tấn Phát,
11000000000.0,56.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 11,Bình Phú,4.0
2100000000.0,65.0,2.0,2.0,,Hợp đồng mua bán,Tp Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,Quốc lộ 1A,
168000000.0,600.0,,,,Đã có sổ,Đắk Lắk,Huyện Cư M'gar,Xã Ea H'đinh,Đường Liên xã,
14800000000.0,8200.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tóc Tiên,Đường Mỹ Xuân-Tóc Tiên,
15000000000.0,4500.0,,,,,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tóc Tiên,hắc dịch tóc tiên,
186000000000.0,89.0,8.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 1,Phường Cô Giang,Đường Ðề Thám,
720000000.0,12.0,1.0,,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Nguyễn Bình,1.0
