price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
16800000000.0,286.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Đông Hòa,Đường Trần Quang Khải,
1800000000.0,300.0,10.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,Quốc Lộ 13,
1250000000.0,230.0,,,,Đã có sổ,Bình Phước,Huyện Chơn Thành,Xã Nha Bích,D6 Ap 6 Nha Bich,
600000000.0,241.0,,,,Đã có sổ,Đồng Nai,Huyện Tân Phú,Xã Phú Điền,Trà Cổ,
47000000000.0,3350.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Hiệp,Đường Tân Hiệp 10,
6200000000.0,122.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Phú (Quận 9 cũ),Đường Phan Chu Trinh,2.0
10700000000.0,108.0,3.0,3.0,Nhà biệt thự,Đã có sổ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,Khu Dân Cư Bình Hưng,3.0
5000000000.0,9837.0,,,,Đã có sổ,Bình Phước,Huyện Bù Đăng,Xã Thống Nhất,Đường Sao Bọng - Đăng Hà,
7000000000.0,800.0,,,,Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường An Hoà,Đường Nguyễn Thiện Thuật,
1900000000.0,113.0,,,,Đã có sổ,Bình Thuận,Thành phố Phan Thiết,Xã Phong Nẫm,Đường Lê Duẩn ( ra ga Phan Thiết ),
2100000000.0,240.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bến Tre,Huyện Giồng Trôm,Thị trấn Giồng Trôm,tỉnh lộ 885,1.0
2430000000.0,375.0,,,,Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Ea Tu,Đường Quốc lộ 26,
7600000000.0,39.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 6,Đường Hoàng Hoa Thám,5.0
4500000000.0,213.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Bình Nhâm,Bình Nhâm,
1750000000.0,100.0,,,,Đang chờ sổ,Đồng Nai,Huyện Nhơn Trạch,Xã Phú Đông,Đường Hùng Vương,
1400000000.0,67.0,2.0,2.0,,Đang chờ sổ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,Vĩnh Lộc A,
1450000000.0,100.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Đồng Nai,Huyện Vĩnh Cửu,Xã Bình Lợi,Cầu Bạch Đằng 2,
600000000.0,85.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường Tân Phong,Đường Đồng Khởi,
6000000000.0,76.0,4.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 16,Đường Lê Đức Thọ,
1606000000.0,1536.8,,,,Đã có sổ,Bình Dương,Huyện Bắc Tân Uyên,Xã Tân Định,.,
60000000000.0,879.0,4.0,5.0,Nhà biệt thự,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường An Bình,Nhựa 16m,
23000000000.0,220.0,11.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,Trần Tấn,
17500000000.0,75.0,2.0,2.0,,1,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 22,Điện Biên Phủ,
6980000000.0,80.9,5.0,6.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 8,Phường 15,Đường Bến Mễ Cốc,
3950000000.0,75.0,5.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,Đường Tỉnh lộ 10,
290000000.0,110.0,,,,Sổ chung / công chứng vi bằng,Đồng Nai,Thành phố Long Khánh,Phường Xuân Tân,Số 5,
18300000000.0,617.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,Liên Phường,
5980000000.0,54.0,4.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thới An,Đường Thới An 16,
5990000000.0,55.0,5.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thới An,Đường Lê Văn Khương,4.0
6200000000.0,160.0,3.0,4.0,Nhà biệt thự,Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,Đường 04 Ấp Mới 1,2.0
6200000000.0,76.0,4.0,4.0,Nhà phố liền kề,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Đường Quốc lộ 1K,3.0
13800000000.0,198.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Dĩ An,Đường số 9,
4790000000.0,85.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 10,Đường Đoàn Kết,
5600000000.0,170.0,5.0,4.0,Nhà phố liền kề,Đã có sổ,Đồng Nai,Huyện Long Thành,Thị trấn Long Thành,Đường Trường Chinh,3.0
220000000.0,9495.0,,,,Đã có sổ,Bình Phước,Huyện Phú Riềng,Xã Phú Trung,Đường Quốc lộ 14,
36500000000.0,350.0,6.0,4.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Linh Chiểu (Quận Thủ Đức cũ),Đường Chương Dương,3.0
2900000000.0,68.8498,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Cà Mau,Thành phố Cà Mau,Phường 6,Đường Tôn Đức Thắng,
3700000000.0,71.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Đường Nguyễn Thị Minh Khai,1.0
2300000000.0,150.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Cần Giờ,Xã An Thới Đông,An Thới Đông,
5300000000.0,60.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Đường Lê Văn Quới,
2150000000.0,100.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Thạnh,Đường An Thạnh 06,
4900000000.0,500.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Bình Nhâm,Đường Bình Nhâm 04,
14900000000.0,885.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Đường Nguyễn Thị Minh Khai,
6200000000.0,174.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Nhơn Đức,Đường Lê Văn Lương,
4150000000.0,91.5,2.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Bùi Văn Ngữ,
5200000000.0,210.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Tân Hưng,Số 21,
490000000.0,112.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Quảng Thành,DT,
7500000000.0,300.0,,,,Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường Bửu Long,E6,
6550000000.0,65.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Thạnh Lộc 27,3.0
3200000000.0,5400.0,,,,Đã có sổ,Đắk Lắk,Thị Xã Buôn Hồ,Xã Cư Bao,Hẻm đường Quốc lộ 14,
6000000000.0,1174.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Tân Hưng,Đường Số 11,
23000000000.0,1500.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Đường Bùi Công Trừng,
11500000000.0,116.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Lợi,Đường Huỳnh Văn Nghệ,
1600000000.0,68.0,2.0,1.0,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Mỹ,Đường Đại lộ Bình Dương,1.0
4500000000.0,60.0,3.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường An Bình,Đường Trần Quốc Toản,
3750000000.0,103.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Đường Mỹ Phước - Tân Vạn,
7500000000.0,230.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Tiến,dương vân nga,
1590000000.0,10479.0,,,,Đã có sổ,Bình Thuận,Huyện Bắc Bình,Thị trấn Chợ Lầu,Kênh 2,
2200000000.0,220.0,,,,Đã có sổ,Bình Dương,Thị xã Tân Uyên,Xã Phú Chánh,ĐT 742,
5650000000.0,74.0,4.0,,"Nhà ngõ, hẻm",Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lợi,Đường Trần Văn Phụ,
2200000000.0,60.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 15,Tô Ngọc Vân,
920000000.0,179.0,5.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bến Tre,Huyện Châu Thành,Xã Hữu Định,Đường Nguyễn Văn Cánh,
1850000000.0,60.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Vĩnh Phú,Vĩnh Phú,
9900000000.0,80.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 8,Phường 7,Đường Quản Trọng Linh,
5350000000.0,117.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thới An,Đường Lê Thị Riêng,
4800000000.0,125.0,2.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Thạnh,Cầu Trắng,
16800000000.0,126.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,Đường số 1A,4.0
3450000000.0,85.0,3.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Tân Túc,
1550000000.0,162.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Xã An Sơn,Đường An Sơn 01,
540000000.0,72.0,1.0,1.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Hưng Long,Đường Đoàn Nguyễn Tuấn,
5399000000.0,150.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,Đường Võ Văn Vân,
26000000000.0,377.0,3.0,4.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Gò Ô Môi,
9500000000.0,4777.0,,,,Đã có sổ,Đồng Nai,Huyện Long Thành,Xã Long An,Đường cao tốc Thành phố Hồ Chí Minh – Long Thành – Dầu Giây,
4850000000.0,53.0,4.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),Đường Gò Cát,
350000000.0,3000.0,,,,Đã có sổ,Bình Phước,Huyện Đồng Phú,Xã Tân Hòa,Đường 29m ,
9800000000.0,220.0,5.0,3.0,Nhà biệt thự,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Lợi,Đường Lê Thị Trung,1.0
1150000000.0,111.0,,,,Đã có sổ,Đồng Nai,Huyện Nhơn Trạch,Xã Phước An,Đường Hùng Vương,
16000000000.0,556.0,5.0,5.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Phước,Thành phố Đồng Xoài,Phường Tân Phú,Đường Lê Duẩn,
4490000000.0,118.0,2.0,,"Nhà ngõ, hẻm",Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường Trung Dũng,Đường Nguyễn Ái Quốc,
3100000000.0,10236.7,,,,Đã có sổ,Bình Phước,Huyện Đồng Phú,Xã Đồng Tiến,Đường Quốc lộ 14,
7700000000.0,73.0,2.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 21,Đường Xô Viết Nghệ Tĩnh,2.0
6800000000.0,128.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Dĩ An,Đường tỉnh 743B,
495000000.0,250.0,,,,Đã có sổ,Đắk Lắk,Huyện Buôn Đôn,Xã Ea Nuôl,Nguyễn Thị Định,
8900000000.0,112.0,5.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Đường Phạm Hữu Lầu,3.0
4600000000.0,323.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Thạnh,Đường An Thạnh 29,
7500000000.0,102.0,,,,Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Đường Số 11,
4000000000.0,110.0,,,,Đã có sổ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Hem 2266 Huỳnh Tấn Phát,
1290000000.0,31.5,2.0,2.0,"Nhà ngõ, hẻm",Đang chờ sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Hà Huy Giáp,
8500000000.0,40.0,5.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 10,Phường 15,Cách Mạng Tháng Tám ,4.0
15500000000.0,30.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 1,Phường Cô Giang,Trần Hưng Đạo,
2650000000.0,105.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,Đường số 1,
18000000000.0,667.0,4.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Phú,Đường Lê Thị Trung,
14000000000.0,90.0,5.0,6.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Đường Đặng Thùy Trâm,
6700000000.0,84.0,4.0,5.0,Nhà phố liền kề,Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,Đường số 1,4.0
8000000000.0,312.0,,,,Đã có sổ,Bình Phước,Thị xã Phước Long,Phường Long Phước,Đường tỉnh 759,
1943000000.0,412.0,,,,Đã có sổ,Bình Phước,Huyện Chơn Thành,Thị trấn Chơn Thành,Đường Quốc lộ 13,
2550000000.0,70.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Hòa,30/4,
4650000000.0,180.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Mỹ,Đường ĐX 037,
6300000000.0,64.0,5.0,5.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,Đường Tây Lân,4.0
7500000000.0,5000.0,,,,Đã có sổ,Đồng Nai,Huyện Long Thành,Xã Tam An,Đường Duơng Diên Nghệ,
13200000000.0,88.0,5.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 5,Đường Lê Quang Định,3.0
17500000000.0,345.0,11.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Đường N9,
620000000.0,71.0,,,,Đã có sổ,Bình Định,Huyện Tuy Phước,Xã Phước Lộc,Thôn Vĩnh Hy,
3100000000.0,87.5999,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Đường Bùi Thị Xuân,
19900000000.0,395.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Nguyễn An Ninh,Đường Nguyễn Hới,
4500000000.0,98.0,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Bình Hòa,Bình Hoà,
10500000000.0,119.0,,,,Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thạnh (Quận 9 cũ),Đường Nguyễn Xiển,
12500000000.0,88.0,6.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 8,Đường Nguyễn Thị Minh Khai,4.0
2850000000.0,49.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Thành,Đường Nguyễn Kim,
5000000000.0,100.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Đường Thanh Niên,1.0
4400000000.0,56.0,3.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Quận 8,Phường 8,8,
7500000000.0,390.0,,,,Đã có sổ,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lợi,Đường Nguyễn Đình Chiểu,
4500000000.0,64.0,4.0,4.0,"Nhà ngõ, hẻm",Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường Tân Phong,Đường Nguyễn Ái Quốc,3.0
7400000000.0,72.0,4.0,5.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Đồng Nai,Thành phố Biên Hòa,Phường Tam Hòa,Hẻm 1 Đường Đồng Khởi,
5800000000.0,52.0,2.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Bình Thuận,Đường Huỳnh Tấn Phát,2.0
2999000000.0,150.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Thạnh,Đường An Thạnh 19,
1200000.0,3100.0,,,,Đã có sổ,Bình Thuận,Huyện Hàm Tân,Xã Sông Phan,Đường Quốc lộ 1,
26000000000.0,883.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Hưng Định,Đường Cách Mạng Tháng Tám,1.0
1880000000.0,56.0,3.0,2.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,Đường Vĩnh Lộc,
21000000000.0,978.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Đường Thạnh Xuân 52,
6500000000.0,250.0,2.0,2.0,,Hợp đồng mua bán,Bình Thuận,Thành phố Phan Thiết,Phường Hàm Tiến,Đường Huỳnh Thúc Kháng,
4650000000.0,102.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,Đường Cách Mạng Tháng Tám,
11300000000.0,300.0,11.0,7.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Đường NA12,1.0
5400000000.0,3000.0,,,,Đã có sổ,Đồng Nai,Huyện Long Thành,Xã An Phước,Đường Song Hành QL51,
2900000000.0,70.0,2.0,1.0,"Nhà ngõ, hẻm",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Đông Hòa,Đường Quốc lộ 1K,1.0
11000000000.0,188.0,6.0,6.0,Nhà biệt thự,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Đường tỉnh 743A,3.0
4800000000.0,48.0,3.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,Đường Thoại Ngọc Hầu,2.0
7990000000.0,75.0,3.0,,Nhà phố liền kề,Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),Đường Võ Chí Công,3.0
6250000000.0,60.0,4.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú B (Quận 9 cũ),Đường Bưng Ông Thoàn,3.0
1250000000.0,92.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Hoà Long,Đường Số 23 ,
3968000000.0,49.2999,2.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Thắng Nhì,Đường Nguyễn An Ninh,2.0
6200000000.0,105.0,5.0,5.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Thuận An,Phường An Phú,Đường An Phú 17,2.0
6571000000.0,424.5,1.0,1.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Đồng Nai,Thành phố Long Khánh,Phường Suối Tre,Đường Quốc lộ 1,
12500000000.0,162.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Định,Thành phố Qui Nhơn,Phường Ngô Mây,Võ Mười,
8000000000.0,140.0,7.0,6.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Thạnh Lộc 15,3.0
5550000000.0,81.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Đường Đặng Văn Mây,2.0
15200000000.0,73.6996,2.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 13,Đường Trường Chinh,
32000000000.0,32.0,3.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 1,Phường Tân Định,Đường Trần Khắc Chân,3.0
16200000000.0,84.0,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 11,Đường Chợ Lớn,5.0
19700000000.0,90.0,5.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 11,Đường Số 23,5.0
11000000000.0,75.0,5.0,6.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,Đường Trương Thị Hoa,6.0
3000000000.0,50.0,1.0,1.0,,Hợp đồng mua bán,Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 10,3/2,
7200000000.0,42.0,4.0,4.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 10,Đường Đặng Văn Ngữ,3.0
7350000000.0,70.0,2.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),An Phú,
3380000000.0,22.0,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 11,Đường Quang Trung,
5390000000.0,55.0,2.0,1.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 11,Đường Phan Văn Trị,2.0
1350000000.0,42.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Sổ chung / công chứng vi bằng,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Đường Nguyễn Thị Khắp,2.0
2650000000.0,50.0,1.0,1.0,,Hợp đồng mua bán,Tp Hồ Chí Minh,Quận 7,Phường Tân Thuận Tây,Nguyễn Văn Linh,
6100000000.0,54.0,4.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Nguyễn Ảnh Thủ,
1580000000.0,100.0,,,,Đã có sổ,Bình Dương,Thị xã Tân Uyên,Phường Thái Hòa,"1/ Sẹc Đường DT747 A -> 100m Tới Đất, Ngay Tại Cổng Chào Soát Vé",
1800000000.0,90.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Mỹ,1/ Sẹc Đường Chánh Mỹ - TDM,
3300000000.0,13000.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã Ngọc Định,Đường Quốc lộ 20,
150000000.0,33.0,2.0,1.0,,Hợp đồng mua bán,Đồng Nai,Huyện Nhơn Trạch,Xã Phước An,Đường Nguyễn Văn Cừ,
9000000000.0,384.0,,,,Đã có sổ,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Lợi,Đường tỉnh 743A,
2200000000.0,185.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Đất Đỏ,Đường Tạ Văn Sáu,
11450000000.0,136.0,7.0,7.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 15,Đường Trần Thái Tông,2.0
400000000.0,422.0,,,,Đã có sổ,Bình Phước,Huyện Chơn Thành,Xã Minh Thành,DH516,
1980000000.0,64.0998,2.0,1.0,,Hợp đồng mua bán,Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,ĐT 743C,
1750000000.0,36.0,2.0,2.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Đường Tỉnh lộ 10,1.0
7900000000.0,5276.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Long Tân,long tan lang dai,
10000000000.0,360.0,,,,Đã có sổ,Bình Dương,Thành phố Thuận An,Phường Bình Chuẩn,Đường tỉnh 743A,
8700000000.0,60.0,4.0,5.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,Đường Nguyễn Hữu Tiến,4.0
20500000000.0,160.0,2.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 10,Đường Võ Văn Kiệt,1.0
2500000000.0,28.0,1.0,,,Hợp đồng mua bán,Tp Hồ Chí Minh,Quận 4,Phường 6,Bến Vân Đồn,
3580000000.0,48.0,2.0,,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,Hẻm 70 Huỳnh Thiện Lộc,
9750000000.0,63.0,4.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 11,Phường 5,Đường Hòa Bình,4.0
2400000000.0,159.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Thuận,Thị xã La Gi,Phường Tân Thiện,Phan Đăng Lưu,1.0
18800000000.0,136.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 6,Phường 10,Đường Cư xá Phú Lâm D,4.0
1100000000.0,116.0,,,,Đã có sổ,Bình Thuận,Thị xã La Gi,Phường Tân An,Trưng Trắc,
6200000000.0,110.0,5.0,4.0,Nhà phố liền kề,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,Đường Nguyễn Thị Búp,3.0
5950000000.0,130.0,,,,Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Thạnh Lộc 37,
