street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Phú Mỹ,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,66.0,7,3,3,5,137.0,3
Cổ Linh,Long Biên,Long Biên,Hà Nội,88.0,7,3,3,2,308.0,3
Kim Ngưu,Thanh Lương,Hai Bà Trưng,Hà Nội,76.0,7,3,9,3,136.0,3
Yên Nghĩa,Yên Nghĩa,Hà Đông,Hà Nội,50.0,7,3,1,7,189.0,3
Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,Hà Nội,72.3,7,3,3,4,515.0,3
Trần Khánh Dư,Bạch Đằng,Hai Bà Trưng,Hà Nội,201.8,7,3,9,3,115.0,3
Đại La,Trương Định,Hai Bà Trưng,Hà Nội,29.6,7,3,9,2,55.0,3
Nguyễn Cảnh Dị,Đại Kim,Hoàng Mai,Hà Nội,50.0,7,3,5,5,21.0,3
Trịnh Đình Cửu,Định Công,Hoàng Mai,Hà Nội,192.0,7,3,5,2,14.0,3
Bồ Đề,Bồ Đề,Long Biên,Hà Nội,31.6,7,3,3,4,775.0,3
Đại La,Trương Định,Hai Bà Trưng,Hà Nội,29.5,7,3,9,1,66.0,3
Kim Ngưu,Thanh Nhàn,Hai Bà Trưng,Hà Nội,32.7,7,3,9,4,79.0,3
Trương Định,Trương Định,Hai Bà Trưng,Hà Nội,40.9,7,3,9,3,110.0,3
Nguyễn Trãi,Văn Quán,Hà Đông,Hà Nội,63.2,7,3,1,4,153.0,3
Khâm Thiên,Thổ Quan,Đống Đa,Hà Nội,11.9,7,7,3,4,55.0,3
Hồ Ba Mẫu,Văn Miếu,Đống Đa,Hà Nội,30.0,7,7,3,7,84.0,3
Nguyễn Lương Bằng,Nam Dong,Đống Đa,Hà Nội,31.1,7,7,3,2,795.0,3
Kiến Hưng,Kiến Hưng,Hà Đông,Hà Nội,50.0,7,3,1,6,15.0,3
Do Nha,Tây Mỗ,Nam Từ Liêm,Hà Nội,36.3,7,3,3,1,745.0,3
Phổ Giác,Văn Miếu,Đống Đa,Hà Nội,17.5,7,7,3,4,65.0,3
Phú Mỹ,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,42.0,7,3,3,6,124.0,3
Nguyễn Phúc Lai,Ô Chợ Dừa,Đống Đa,Hà Nội,51.9,7,7,3,4,21.0,3
An Dương,Yên Phụ,Tây Hồ,Hà Nội,31.7,7,3,3,4,48.0,3
Đội Cấn,Liễu Giai,Ba Đình,Hà Nội,66.0,7,3,3,7,355.0,3
Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,Hà Nội,40.2,7,3,3,4,8.0,3
Mễ Trì Thượng,Mễ Trì,Nam Từ Liêm,Hà Nội,62.2,7,3,3,6,139.0,3
Nguyễn Đổng Chi,Cầu Diễn,Nam Từ Liêm,Hà Nội,56.0,7,3,3,5,212.0,3
Lý Nam Đế,Hàng Mã,Hoàn Kiếm,Hà Nội,40.3,7,3,3,4,108.0,3
Lương Khánh Thiện,Tương Mai,Hoàng Mai,Hà Nội,35.0,7,3,5,4,138.0,3
