street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,60.8,1,4,1,2,5.8,1
Nguyễn Văn Thoại,Bắc Phú Mỹ,Ngũ Hành Sơn,Đà Nẵng,110.0,1,6,5,3,13.3,1
Xuân Thiều 8,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,80.0,1,2,1,4,3.6,1
Lê Duy Đình,An Khê,Thanh Khê,Đà Nẵng,76.0,1,4,4,4,7.2,1
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,108.3,1,4,3,5,15.5,1
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,108.3,1,4,2,5,15.5,1
Võ Văn Tần,Chính Gián,Thanh Khê,Đà Nẵng,70.0,1,5,4,5,33.0,1
Nguyễn Thúy,Hòa Minh,Liên Chiểu,Đà Nẵng,85.5,1,4,3,3,7.15,1
Lê Ninh,An Hải Bắc,Sơn Trà,Đà Nẵng,88.7,1,11,11,6,17.9,1
An Thượng 1,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,1,15,15,6,25.0,1
Võ Nguyên Giáp,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,140.0,1,15,15,7,40.0,1
Phước Trường 1,Phước Mỹ,Sơn Trà,Đà Nẵng,90.0,1,11,11,7,17.5,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,156.9,1,23,30,6,26.2,1
Nguyễn Văn Thoại,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,102.0,1,30,20,6,20.0,1
Hoàng Sa,Thọ Quang,Sơn Trà,Đà Nẵng,143.0,1,14,7,5,45.0,1
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,87.0,1,1,1,3,6.7,1
Chế Lan Viên,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,2,3,2,4.9,1
Phạm Hữu Kĩnh,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,57.0,1,2,1,4,4.85,1
Nguyễn Lương Bằng,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,379.0,1,8,4,2,11.2,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,3,2,4,4.0,1
Văn Tiến Dũng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,11,11,6,11.5,1
Hóa Sơn 6,Hòa Cường Nam,Hải Châu,Đà Nẵng,66.0,1,3,3,3,4.9,1
Trương Chí Cương,Hòa Cường Nam,Hải Châu,Đà Nẵng,54.0,1,4,3,3,4.8,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,91.0,1,2,2,2,6.55,1
Ngô Trí Hoà,Nại Hiên Đông,Sơn Trà,Đà Nẵng,72.0,1,2,1,3,3.9,1
Lê Chân,An Hải Bắc,Sơn Trà,Đà Nẵng,70.0,1,3,2,3,5.55,1
Đinh Thị Hòa,An Hải Bắc,Sơn Trà,Đà Nẵng,98.0,1,9,9,7,13.5,1
Đa Mặn 2,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,2,3,4.25,1
An Cư 2,An Hải Bắc,Sơn Trà,Đà Nẵng,96.0,1,11,11,4,11.5,1
Nguyễn Khánh Toàn,Hòa Cường Bắc,Hải Châu,Đà Nẵng,74.0,1,2,2,2,4.99,1
Trần Văn Dư,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,6,6,3,9.399,1
An Cư 2,An Hải Bắc,Sơn Trà,Đà Nẵng,56.0,1,3,2,2,5.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,92.0,1,2,1,3,5.1,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,4,2,9.0,1
Lý Văn Tố,An Hải Bắc,Sơn Trà,Đà Nẵng,86.0,1,9,9,5,14.5,1
Đỗ Bá,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,76.0,1,9,9,5,18.0,1
Yết Kiêu,Thọ Quang,Sơn Trà,Đà Nẵng,125.0,1,3,2,2,5.25,1
Thế Lữ,An Hải Bắc,Sơn Trà,Đà Nẵng,120.0,1,3,2,4,6.3,1
An Thượng 26,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,20,20,8,40.0,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,87.0,1,5,6,4,11.9,1
Võ An Ninh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,94.0,1,19,19,5,12.0,1
Mai Hắc Đế,An Hải Tây,Sơn Trà,Đà Nẵng,76.0,1,2,2,2,6.6,1
An Trung,An Hải Tây,Sơn Trà,Đà Nẵng,58.0,1,3,3,3,3.95,1
Ngô Quyền,Mân Thái,Sơn Trà,Đà Nẵng,150.0,1,3,3,2,10.199,1
Mỹ Đa Đông 12,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,256.0,1,17,17,5,21.5,1
Hàn Thuyên,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.0,1,12,12,4,10.499,1
Dương Thị Xuân Quý,Bắc Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,10.299,1
Mỹ An 23,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,88.0,1,2,2,2,5.199,1
Doãn Uẩn,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,2,3,3,5.3,1
Mai Thúc Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,138.0,1,3,2,2,19.999,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,112.0,1,2,2,2,7.899,1
Nguyễn Thông,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,9.999,1
Bàu Tràm 1,Khuê Trung,Cẩm Lệ,Đà Nẵng,122.0,1,5,4,3,6.589,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,82.0,2,2,2,7,3.608,1
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,146.3,1,4,3,3,19.5,1
Ngô Quyền,An Hải Đông,Sơn Trà,Đà Nẵng,100.0,1,20,20,9,33.0,1
Lê Văn Quý,Phước Mỹ,Sơn Trà,Đà Nẵng,75.0,1,4,4,4,10.8,1
Hà Thị Thân,An Hải Tây,Sơn Trà,Đà Nẵng,111.0,1,14,14,6,16.5,1
Lê Văn Quý,Phước Mỹ,Sơn Trà,Đà Nẵng,75.0,1,4,45,4,10.8,1
Trần Minh Thiệt,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,3,4.1,1
Phạm Phú Tiết,Khuê Trung,Cẩm Lệ,Đà Nẵng,97.0,1,1,1,4,6.15,1
Vùng Trung 18,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,103.0,1,1,1,2,3.7,1
Đoàn Khuê,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,3,4,3,7.8,1
Trần Khánh Dư,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,2,2,3,8.8,1
An Thượng 34,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,905.0,1,9,9,5,17.0,1
An Thượng 38,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,7,7,4,9.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,3,2,3,7.5,1
Chính Hữu,An Hải Bắc,Sơn Trà,Đà Nẵng,132.0,1,2,3,3,9.899,1
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.2,1,5,5,3,13.6,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,52.0,1,3,4,3,4.95,1
Lưu Quý Kỳ,Hòa Cường Nam,Hải Châu,Đà Nẵng,60.7,1,4,4,3,0.005,1
Tôn Đức Thắng,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,202.0,1,4,4,2,18.0,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,3,3,3,9.2,1
Trần Hưng Đạo,An Hải Bắc,Sơn Trà,Đà Nẵng,250.0,1,7,7,7,80.0,1
Đinh Tiên Hoàng,Tam Thuận,Thanh Khê,Đà Nẵng,72.0,1,2,2,2,3.8,1
Cù Chính Lan,An Khê,Thanh Khê,Đà Nẵng,198.0,1,3,2,2,12.5,1
Hóa Sơn 1,Hải Châu 1,Hải Châu,Đà Nẵng,120.0,1,4,4,4,11.599,1
Xô Viết Nghệ Tĩnh,Hòa Cường Nam,Hải Châu,Đà Nẵng,18.54,1,3,3,4,1.093,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,7167.0,1,2,2,3,4.3,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,6,3,0.03,1
Đoàn Hữu Trưng,Hòa An,Cẩm Lệ,Đà Nẵng,92.0,1,3,3,2,4.7,1
Nguyễn Đức Cảnh,Thuận Phước,Hải Châu,Đà Nẵng,80.0,1,3,2,2,5.0,1
Nguyễn Hoàng,Bình Hiên,Hải Châu,Đà Nẵng,73.0,1,2,2,2,7.2,1
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,90.0,1,3,3,3,4.299,1
Dương Đức Hiền,Hòa Minh,Liên Chiểu,Đà Nẵng,72.0,1,3,5,3,5.85,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,63.0,1,2,2,3,3.726,1
Hà Đặc,Phước Mỹ,Sơn Trà,Đà Nẵng,63.0,1,3,3,3,7.5,1
Bùi Dương Lịch,Nại Hiên Đông,Sơn Trà,Đà Nẵng,92651.8,2,2,1,2,4910.545,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,77.7,1,2,2,3,4.428,1
An Nhơn,An Hải Bắc,Sơn Trà,Đà Nẵng,114.0,1,4,4,3,9.7,1
Nguyễn Chí Diểu,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,5,5,3,7.1,1
Hoàng Bích Sơn,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,3,3,3,8.5,1
Xuân Hòa 2,Thanh Khê Đông,Thanh Khê,Đà Nẵng,60.0,1,3,2,2,4.2,1
Chu Huy Mân,Nại Hiên Đông,Sơn Trà,Đà Nẵng,160.0,1,6,6,3,9.85,1
Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,90.0,1,3,3,3,7.499,1
Trần Thanh Mại,An Hải Bắc,Sơn Trà,Đà Nẵng,89.0,1,4,4,4,7.6,1
Phan Bôi,An Hải Đông,Sơn Trà,Đà Nẵng,80.0,1,4,4,4,6.799,1
Kỳ Đồng,Thanh Khê Đông,Thanh Khê,Đà Nẵng,100.0,1,3,3,3,8.499,1
Mẹ Nhu,Thanh Khê Tây,Thanh Khê,Đà Nẵng,44.0,1,2,2,2,3.25,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,80.0,1,4,4,4,11.0,1
Thủ Khoa Huân,An Hải Đông,Sơn Trà,Đà Nẵng,189.0,1,1,1,2,14.5,1
Bình An 7,Hòa Cường Bắc,Hải Châu,Đà Nẵng,95.0,1,3,3,2,5.9,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,180.0,1,4,6,3,19.0,1
Cần Giuộc,An Khê,Thanh Khê,Đà Nẵng,90.0,1,3,2,2,5.5,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,125.0,1,4,5,3,7.2,1
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,100.0,1,4,4,3,10.5,1
Thanh Hải,Thanh Bình,Hải Châu,Đà Nẵng,110.0,1,4,4,2,8.5,1
Đa Mặn 6,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,4,4,4,7.75,1
Tiên Sơn 17,Hòa Cường Bắc,Hải Châu,Đà Nẵng,105.0,1,2,2,2,6.4,1
Hàm Nghi,Vĩnh Trung,Thanh Khê,Đà Nẵng,51.0,1,3,3,4,13.5,1
Bình Hòa 2,Khuê Trung,Cẩm Lệ,Đà Nẵng,60.0,1,4,3,3,4.1,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,40.0,1,2,2,4,3.4,1
Lê Văn Duyệt,An Hải Đông,Sơn Trà,Đà Nẵng,109.0,1,3,2,3,7.3,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,2,3,3.95,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,2,3,3.95,1
Hoá Sơn 10,Hòa Cường Nam,Hải Châu,Đà Nẵng,120.0,1,4,4,4,16.0,1
Võ Nguyên Giáp,Mân Thái,Sơn Trà,Đà Nẵng,388.0,1,1,1,3,2.45,1
An Thượng 3,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,8,9,4,22.5,1
Trần Sâm,Nại Hiên Đông,Sơn Trà,Đà Nẵng,180.0,1,1,1,3,9.8,1
Bình An 1,Hòa Cường Bắc,Hải Châu,Đà Nẵng,77.0,1,2,2,2,4.999,1
Nguyễn Xiển,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,248.0,1,45,47,9,52.0,1
Huỳnh Thúc Kháng,Nam Dương,Hải Châu,Đà Nẵng,90.0,1,4,3,2,16.7,1
Võ Nguyên Giáp,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,113.0,1,12,12,4,6.9,1
Ông Ích Khiêm,Hải Châu 11,Hải Châu,Đà Nẵng,155.0,1,20,20,5,36.0,1
Trần Bạch Đằng,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,245.0,1,52,52,10,120.0,1
Xô Viết Nghệ Tĩnh,Hòa Cường Bắc,Hải Châu,Đà Nẵng,300.0,1,16,18,4,23.0,1
An Mỹ,An Hải Tây,Sơn Trà,Đà Nẵng,72.0,1,9,9,7,14.0,1
Khuê Mỹ Đông 5,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,175.0,1,5,5,2,13.5,1
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,82.0,1,4,5,4,14.9,1
Tố Hữu,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,5,4,3,10.5,1
Dương Đình Nghệ,An Hải Bắc,Sơn Trà,Đà Nẵng,108.0,1,20,20,6,18.0,1
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,125.0,1,8,8,3,12.9,1
Ông Ích Khiêm,Hải Châu 11,Hải Châu,Đà Nẵng,350.0,1,4,4,4,81.0,1
Nguyễn Thị Cận,Hòa Minh,Liên Chiểu,Đà Nẵng,156.0,1,20,20,3,8.149,1
Nguyễn Hữu Thông,An Hải Bắc,Sơn Trà,Đà Nẵng,300.0,1,12,14,4,48.0,1
An Thượng 28,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,20,20,9,32.0,1
Vương Thừa Vũ,An Hải Bắc,Sơn Trà,Đà Nẵng,81.0,1,6,7,5,10.9,1
Dương Chí Trạch,An Hải Bắc,Sơn Trà,Đà Nẵng,75.0,1,8,9,6,11.5,1
Lê Quang Đạo,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,145.0,1,23,23,8,43.0,1
Đống Đa,Thạch Thang,Hải Châu,Đà Nẵng,198.0,1,10,11,4,33.0,1
An Thượng 26,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,5,4,14.5,1
An Thượng 26,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,41,42,11,45.0,1
Lê Hữu Trác,An Hải Đông,Sơn Trà,Đà Nẵng,156.0,1,10,10,4,10.8,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,618.0,1,40,40,5,75.0,1
Nghiêm Xuân Yên,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,11,11,4,10.3,1
Phần Lăng 18,Hòa Khê,Thanh Khê,Đà Nẵng,170.0,1,4,6,4,13.0,1
Nguyễn Hoàng,Vĩnh Trung,Thanh Khê,Đà Nẵng,108.0,1,3,2,2,11.0,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,1576.0,1,15,15,4,140.0,1
Điên Biên Phủ,Thanh Khê Đông,Thanh Khê,Đà Nẵng,200.0,1,6,5,3,27.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,106.0,1,11,12,6,14.5,1
Hồ Nghinh,An Hải Bắc,Sơn Trà,Đà Nẵng,101.0,1,23,23,8,26.999,1
An Dương Vương,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,3,7.2,1
An Thượng 32,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,5,4,3,13.0,1
Nguyễn Đức An,Phước Mỹ,Sơn Trà,Đà Nẵng,91.0,1,14,14,7,13.0,1
Bùi Thị Xuân,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,10,10,4,11.8,1
Lê Ninh,An Hải Bắc,Sơn Trà,Đà Nẵng,88.0,1,4,4,3,9.2,1
Thạch Lam,Phước Mỹ,Sơn Trà,Đà Nẵng,82.0,1,7,6,4,13.5,1
Mai Chí Thọ,Hòa Xuân,Cẩm Lệ,Đà Nẵng,165.0,1,5,6,5,21.0,1
An Thượng 2,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,12,12,7,24.999,1
Lương Thế Vinh,An Hải Đông,Sơn Trà,Đà Nẵng,260.0,1,11,17,11,17.899,1
Hàm Tử,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,148.0,1,3,4,2,22.0,1
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,80.0,1,10,9,5,7.499,1
An Thượng 29,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,14,16,7,19.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,5,4,3,9.0,1
Hoàng Đức Lương,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,7,9,5,10.5,1
Phước Trường 12,Phước Mỹ,Sơn Trà,Đà Nẵng,90.0,1,13,14,8,16.0,1
Phước Trường 11,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,7,8,5,14.8,1
Hồ Nghinh,Phước Mỹ,Sơn Trà,Đà Nẵng,154.0,1,3,4,3,33.0,1
Yên Bái,Hải Châu 1,Hải Châu,Đà Nẵng,110.0,1,25,25,7,33.0,1
Lương Nhữ Hộc,Hòa Cường Bắc,Hải Châu,Đà Nẵng,144.0,1,5,7,3,16.7,1
Nguyễn Thiện Thuật,Bình Thuận,Hải Châu,Đà Nẵng,1135.0,1,5,5,5,150.0,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,160.0,1,4,6,4,19.0,1
Đặng Vũ Hỷ,An Hải Đông,Sơn Trà,Đà Nẵng,200.0,1,3,2,3,18.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,11,10,5,10.9,1
Hàn Thuyên,Hòa Cường Bắc,Hải Châu,Đà Nẵng,228.0,1,2,2,3,22.0,1
Nguyễn Sinh Sắc,Hòa Minh,Liên Chiểu,Đà Nẵng,210.0,1,26,26,6,35.0,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,125.0,1,9,9,4,10.7,1
Châu Thị Vĩnh Tế,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,215.0,1,14,15,5,22.899,1
An Thượng 29,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,162.0,1,40,45,11,52.0,1
Khuê Mỹ Đông 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,102.0,1,4,4,3,8.6,1
Nguyễn Bá Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,474.0,1,4,5,2,30.799,1
An Thượng 5,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,70.0,1,7,8,7,13.9,1
Đỗ Bá,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,140.0,1,9,9,5,17.5,1
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,75.0,1,5,4,3,9.899,1
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,280.0,1,3,3,3,89.0,1
Hùng Vương,Hải Châu 1,Hải Châu,Đà Nẵng,118.0,1,5,4,3,58.999,1
Duy Tân,Hòa Thuận Tây,Hải Châu,Đà Nẵng,133.0,1,2,3,2,16.0,1
Nguyễn Trãi,Hải Châu 11,Hải Châu,Đà Nẵng,83.0,1,4,3,5,15.3,1
Nguyễn Tri Phương,Thạc Gián,Thanh Khê,Đà Nẵng,282.0,1,10,10,3,42.0,1
Phạm Văn Nghị,Vĩnh Trung,Thanh Khê,Đà Nẵng,110.0,1,4,4,2,10.5,1
Trần Phước Thành,Khuê Trung,Cẩm Lệ,Đà Nẵng,156.0,1,4,4,3,12.5,1
Lý Triện,An Khê,Thanh Khê,Đà Nẵng,125.0,1,2,3,2,10.9,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,106.0,1,2,2,2,14.6,1
Lý Văn Tố,An Hải Bắc,Sơn Trà,Đà Nẵng,170.0,1,33,33,6,25.0,1
Nại Thịnh 1,An Hải Đông,Sơn Trà,Đà Nẵng,55.0,1,3,3,3,4.58,1
Tô Hiến Thành,Phước Mỹ,Sơn Trà,Đà Nẵng,160.0,1,10,11,3,28.0,1
Ngô Thì Nhậm,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,225.0,1,3,4,4,16.0,1
Trần Hữu Trang,Hòa Cường Bắc,Hải Châu,Đà Nẵng,171.0,1,17,17,3,12.6,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,147.0,1,8,16,8,47.0,1
Cách Mạng Tháng 8,Khuê Trung,Cẩm Lệ,Đà Nẵng,257.0,1,4,4,2,22.0,1
Nguyễn Sơn,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,4,4,3,16.8,1
Lê Thị Xuyến,Chính Gián,Thanh Khê,Đà Nẵng,133.0,1,3,3,3,9.399,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,81.0,1,3,4,3,12.0,1
Nguyễn Xuân Nhĩ,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,3,3,3,12.0,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,321.0,1,1,1,3,13.7,1
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,115.0,1,5,5,3,11.5,1
Phạm Vấn,Phước Mỹ,Sơn Trà,Đà Nẵng,87.0,1,11,11,6,16.8,1
Lê Thanh Nghị,Hòa Cường Nam,Hải Châu,Đà Nẵng,171.0,1,7,7,3,12.5,1
Lý Thái Tông,Hòa Minh,Liên Chiểu,Đà Nẵng,250.0,1,1,1,4,16.0,1
Dương Đình Nghệ,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,7,8,4,13.0,1
Võ Nguyên Giáp,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,140.0,1,25,25,9,60.0,1
Bùi Quốc Hưng,Thọ Quang,Sơn Trà,Đà Nẵng,7320.0,1,1,1,3,230.0,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,125.0,1,1,1,4,24.0,1
Hoàng Xuân Nhị,Hòa Cường Nam,Hải Châu,Đà Nẵng,118.0,1,6,5,4,9.9,1
Lý Thái Tổ,Thạc Gián,Thanh Khê,Đà Nẵng,395.0,1,45,46,6,60.0,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,111.0,1,4,5,4,27.5,1
Bắc Sơn,Hòa An,Cẩm Lệ,Đà Nẵng,320.0,1,9,8,6,40.0,1
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,625.0,1,1,3,2,46.0,1
Huỳnh Tấn Phát,Hòa Cường Nam,Hải Châu,Đà Nẵng,200.0,1,18,18,5,27.0,1
Núi Thành,Hòa Cường Nam,Hải Châu,Đà Nẵng,147.0,1,20,21,8,28.0,1
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,166.0,1,6,6,3,31.5,1
Cao Bá Quát,An Hải Tây,Sơn Trà,Đà Nẵng,111.0,1,4,4,3,11.0,1
Huy Cận,Khuê Trung,Cẩm Lệ,Đà Nẵng,143.0,1,7,5,3,9.5,1
Khuê Mỹ Đông 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,102.0,1,11,12,7,17.0,1
Nguyễn Mậu Tài,Hòa Xuân,Cẩm Lệ,Đà Nẵng,135.0,1,10,10,4,8.799,1
Đinh Thị Hòa,An Hải Bắc,Sơn Trà,Đà Nẵng,164.0,1,11,11,7,22.999,1
Lê Tấn Toán,Phước Mỹ,Sơn Trà,Đà Nẵng,85.0,1,14,14,8,18.499,1
Nguyễn Chí Thanh,Hải Châu 1,Hải Châu,Đà Nẵng,144.0,1,14,15,5,25.0,1
2 Tháng 9,Bình Hiên,Hải Châu,Đà Nẵng,135.0,1,4,4,2,10.5,1
Núi Thành,Hòa Thuận Đông,Hải Châu,Đà Nẵng,200.0,1,10,10,5,38.0,1
An Thượng 5,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,70.0,1,10,10,6,16.0,1
Ngô Thì Sĩ,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,195.0,1,3,2,2,42.0,1
Lê Phụng Hiểu,An Hải Bắc,Sơn Trà,Đà Nẵng,185.0,1,4,4,3,12.7,1
Mỹ Khê 4,Phước Mỹ,Sơn Trà,Đà Nẵng,450.0,1,4,3,2,48.5,1
Ngũ Hành Sơn,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,24,25,4,14.9,1
Trần Đình Long,Hòa An,Cẩm Lệ,Đà Nẵng,177.0,1,8,5,2,13.499,1
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,128.0,1,15,15,6,18.0,1
Đa Phước 8,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,192.0,1,4,3,2,12.499,1
An Thượng,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,1,16,18,6,23.0,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,72.0,1,3,3,3,16.5,1
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,86.0,1,4,3,3,26.5,1
Võ An Ninh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,93.0,1,20,20,6,12.5,1
Ngô Thì Trí,Nại Hiên Đông,Sơn Trà,Đà Nẵng,155.0,1,4,5,3,9.7,1
Núi Thành,Hải Châu 1,Hải Châu,Đà Nẵng,246.0,1,9,9,3,42.5,1
Châu Thị Vĩnh Tế,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,291.0,1,10,10,3,16.9,1
An Thượng 3,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,14,14,8,26.3,1
Trần Bạch Đằng,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,21,22,8,25.0,1
Điện Biên Phủ,Chính Gián,Thanh Khê,Đà Nẵng,785.0,1,4,4,3,85.0,1
Mai Thúc Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,184.0,1,13,15,5,29.8,1
